english,farsi
week,hafte
year,saal
today,emrooz
tomorrow,fardaa
yesterday,dirooz
hour,saa'at
o'clock,saa'at-e
minute,daqiqe
now,aknoon
before(time),pish
after(time),pas
tonight,emshab
small,kotchak
big,bozorg
warm,garm
cold,sard
hot,dâr
far,dour
good,khoob
bad,bad
beautiful,zibaa
ugly,zesht
difficult,doshvaar
easy,saade
near,nazdik
morning,sobh
night,shab
zero,sefr
one,yek
two,do
three,seh
four,chaahaar
five,panj
six,shesh
seven,haft
eight,hasht
nine,noh
ten,dah
coffee,qahve
wine,sharâb
beer,âbejo
water,âb
head,sar
and,va
or,ya
with,ba
without,bi
but,vali
all,hame
many,bas
this,in
man,mard
woman,zan
friend,dust
here,indja
left,tchap
right,râst
bullshit,tormi
life,zendegi
mine,mal-e
store,marâze
book,ketab
bookS,ketab-ha
why,cherâ
how,chekonehe
what,chehe
who,keye
where,keyâ
when,kei
happy,khosh
funny,khande
excited,hayejaanzade
have fun,khosh bâshi
food,ghaza
the big brother,barâdar-e bozorg
my book (book of me),ke'tab-e man
beautiful girl (girl-of beautiful),doxtar-e zibâ
heart,del
tight,tang
for,baraye
must,bāyad
might,shāyad
