e,f,p
green juice,abe sabzijat
vegetables/veggies,sabzijat
my friend / my friendS / one of my friends,dustam / dustânam=dustâm / yeke az dustâm
window,panjere
door,dar
open / closed,bâz / baste
read / write,khândan / neveshtan
so interesting,che jâleb
makeup / salon de coiffure (place) / coiffeur (doer),arayesh / arayeshgah / arayeshgar
lamp,cherâgh
to prepare lighting,cherâghani kardan
city,شَهر,chahr
north south west east,- - - شَرق,shomâl djoonoob gharb shar-rh
monkey / guest,meymoon / mehhmân (mehhmoon)
almost,taghliban
family,rhanevade
for example,massalan
to prepare / to get ready,amâde kardan / amâde shodan
alcohol / wine,mashloob / sharâb
the domain (big building),emârat
quick,tond
3 times,se bâr
mon ton son notre vos leur,-am -at/-et -ash/-esh -emon -etoon -eshoon
to send,ressendan
class,kelass
street,riâban
restaurant,restorân
jupe,dâman
flower / pot de fleur (flower container),gol / gol-dân
saliere (salt container),namak-dân
glasses,eynak
pencil,medâd
gilass,cherry
wheel / bike,چرخ دوچرخه,tcharrh / dotcharrhe
plate/glass,boshghâb/levân
picture(or photo) / frame,aks / ghâbe aks
watch,saat
hat,kolâh 
never / always,hitchvarht(harguez) / hamishe
nothing / everything,hitcheez / hametcheez
time,zaman = vart
often/usually ; sometimes ; rarely,arlab/ma.moulan ; baazi vart-hâ? ; rheili kam
in(until) 2 weeks,tâ do hafte
one more ; one more time,yeki dige ; yek bare dige
first ; last(end),av-val ; ârhar
do it again (=again),dobare
wait a minute,yekam sabr kon
I'm done (my work has come to an end),karam tamoum shod
I remember / I'm remembering,yâdam hast / yâdam miam
salad,salad
the new book (3),yek ketâbe jadid / ketâbi jadid / ketâbe jadidi
the new books,ketâbhâ ye tâze
he quickly read it (2),ou sari ân râ rhând / ou sari rhândash
he quickly read his book,ou sari ketâbash râ rhand
we were eating,dâshtim mirhordim
lesson,dars
to stand up,pâ shodan
to pay a visit,sar zadan
(1) city (2) wheel (3) east,شَرق چرخ شَهر,chah-r tchar-rh shar-gh
ball / hen / egg,- / مُرغ / -,torhm / morgh / torhme-morgh
